"KEM C0G0805 10N";"2";""
"SEO SUYT 801";"1";""
"S 1J SMD";"1";""
"1N 4148WT7 DII";"2";""
"R941920603";"1";""
"R941921603";"1";""
"VIS 3580";"1";""
"PL 2600 SET";"1";""
"1553CGYBAT ";"1";""
"EBF A-5";"1";""
"BCP 52-16 SMD";"1";""
"BCP 55-16 SMD";"2";""
"RND 155HP06 DD";"2";""
"RND 0603 1 510";"1";""
"RND 0603 1 4,7K";"1";""
"RND 0603 1 10K";"5";""
"RND 0603 1 240";"1";""
"SMD 1/4W 470K";"2";""
"RND 0603 1 160";"1";""
"RND 0603 1 22k";"1";""
"MCP 6V11T-EOT";"1";""
